Year,  Manufacturing,  Construction,  Services,  Others
2022,224.9,97.7,2006,21.9
2021,212.1,98.4,1952.6,23.4
2020,213,97.2,1891.3,21.2
2019,214.4,98,1894.5,23.5
2018,227.8,104.4,1849.9,21.6
2017,223.4,100.7,1829.4,21.7
2016,227.2,101.2,1816.9,20
2015,238.6,110.6,1775.5,23.2
2014,249.3,98.2,1731.2,24.8
2013,280,101.9,1647.5,26.8
2012,288.2,104.5,1621.5,26.4
2011,292.4,99.7,1583.4,23.5
2010,291.4,104,1530,37.5
2009,293.6,113.8,1441.2,20.8
2008,311.9,105.5,1412,22.7
2007,304.5,100.8,1377.3,20.5
2006,301.7,95,1377.6,22.4
2005,273.9,85.5,1268.4,19.5
2004,296.6,92.6,1221.7,21.2
2003,302.5,97.7,1184.9,20.3
2002,298.3,96.5,1159.6,19.2
2001,306.9,100,1154.8,20.7
2000,288.8,92.3,1088.3,13.1