Year,  Manufacturing,  Construction,  Services
2022,224.9,97.7,2006
2021,212.1,98.4,1952.6
2020,213,97.2,1891.3
2019,214.4,98,1894.5
2018,227.8,104.4,1849.9
2017,223.4,100.7,1829.4
2016,227.2,101.2,1816.9
2015,238.6,110.6,1775.5
2014,249.3,98.2,1731.2
2013,280,101.9,1647.5
2012,288.2,104.5,1621.5
2011,292.4,99.7,1583.4
2010,291.4,104,1530
2009,293.6,113.8,1441.2
2008,311.9,105.5,1412
2007,304.5,100.8,1377.3
2006,301.7,95,1377.6
2005,273.9,85.5,1268.4
2004,296.6,92.6,1221.7
2003,302.5,97.7,1184.9
2002,298.3,96.5,1159.6
2001,306.9,100,1154.8
2000,288.8,92.3,1088.3